source_id target_id weight
797 5709 1.7615
859 1439 1.7525
422 472 2.1936
38 18845 1.1275
8 4486 1.7099
128 188 5.2862
248 922 1.6540
47 1237 1.6795
184 2418 3.8480
797 2015 1.1607
1008 1200 1.5303
128 1187 1.0439
9538 13257 1.1049
1372 599334 2.7891
803 5960 1.4165
3529 91380 1.6435
221 7125 1.5608
49 50 1.4936
300 305 1.3017
1198 4486 1.1523
128 135 1.2098
26 6416 3.3506
696 915 2.2458
39 9538 5.0322
27 4524 1.1055
813 922 1.0254
422 984 1.1260
984 9246 1.3952
803 1696 2.2883
928 9246 3.7387
184 5878 1.2882
26 188 1.1925
546 1306 1.5156
797 6276 1.4678
2298 2435 1.5352
498 511 1.9594
94 13297 1.1258
859 4524 1.2249
261 803 1.1233
821 2084 4.2620
48 55 2.7955
767 2065 1.3982
803 807 1.6523
12908 14554 1.1899
50363 51625 1.1283
465 2009 3.4573
767 915 3.4859
92517 61251 2.8495
49 1380 3.4264
146 422 1.1044
2298 16496 1.3358
435 4252 1.0656
422 465 9.4631
128 885 1.3545
46271 23735 2.1928
38 3490 2.0324
60 422 1.7263
449 4252 1.3579
797 380315 1.6481
885 3979 2.9853
422 854 1.7265
859 2606 3.5445
392 958 2.0198
4808 9521 1.0795
188 797 2.1125
922 1609 3.5387
128 49837 1.7354
48 465 4.0414
994 13958 2.6644
188 885 1.4793
1736 17871 1.6030
402 1512 2.0838
13257 13258 3.1953
2592 4486 3.3224
101626 16153 1.7636
1512 17825 1.1638
801 802 1.5839
428 4252 1.8113
221 422 5.5786
797 928 1.1574
26 2969 2.3502
1911 4486 2.0593
422 767 2.8033
1695 1000 1.5709
977 2065 3.4671
428 28871 1.3406
422 859 5.3528
39 1237 2.4031
77 422 1.6314
106 7125 2.6887
511 523 1.7043
7710 2513 2.9877
184 1439 1.2611
915 7125 1.1440
511 103213 1.5367
26 724 19.3828
73 1237 1.3481
48 77 1.1990
4808 7725 3.5016
4524 18845 5.0766
49 2696 2.0533
184 801 1.0208
128 7024 1.6557
465 1432 2.0874
300 922 2.2165
71918 49837 1.4907
2065 491 1.0931
271955 876818 8.8074
130 816 1.9557
1372 7725 3.0662
161 21548 1.2785
977 4486 2.8533
5794 7709 1.1259
26 5009 2.5130
148 9846 2.4322
2065 18845 4.5569
724 803 8.3054
201 4486 1.5212
145 159 1.1577
928 2869 1.2057
392 397 1.3150
184 977 1.7452
922 2731 1.9856
72 4523 1.3568
922 988 1.4419
128 767 18.7552
984 1609 1.0040
188 2065 1.0229
928 4486 1.2483
8 1237 1.4810
26 803 7.8317
859 4032 1.1540
128 7125 4.9056
392 2853 1.1183
922 6223 3.1782
37 422 3.0378
523 532 1.3132
909 3956 2.0489
221 1200 1.9272
922 1237 74.4304
1237 3490 1.6055
546 6908 1.0312
26 922 37.1619
2575 5878 2.0691
4486 380315 1.6655
26 923 1.3409
128 1727 1.2707
922 1007 1.4282
922 9822 1.6432
26 45 2.9972
988 5282 1.0236
696 767 2.7855
1372 3183 1.9794
99285 15918 1.0703
26 7125 4.5649
915 3051 2.7977
696 803 3.1582
72 523 2.0736
922 1601 14.8947
1601 60843 1.4190
48 300 1.6108
547 2575 1.6596
26 696 1.0825
47 724 10.3267
1512 7710 1.6152
49837 51360 1.9158
43883 3956 1.7572
47 4167 1.1382
392 767 11.5492
1241 16153 1.9963
422 724 6.0250
26 491 1.7510
814 922 1.5184
4808 61835 3.8691
909 7860 1.2008
803 4195 1.1285
237 803 1.6382
803 5709 1.1804
803 928 1.7147
173 422 1.4325
392 18845 1.1280
38 2277 2.4111
458799 271955 8.8740
184 1372 2.5662
60 2738 3.4208
422 18845 1.4630
7710 9846 8.6151
724 727 4.3422
1696 4486 3.4682
724 4486 5.6949
1007 7709 2.3474
449 465 1.3630
27 1439 1.4798
671 724 1.6856
18521 51907 1.5928
128 184 21.8490
922 9246 2.2411
923 1237 1.9042
803 7125 2.0615
128 814 1.1059
5398 9846 1.1025
344043 344044 1.1824
696 1192 2.4791
1230 3136 1.1389
27 9538 1.9290
671 686 1.2106
2065 7024 1.0011
1512 18845 5.8480
221 635 1.1128
547 2592 1.6686
128 7710 1.2727
130 393 1.0811
48 73 3.5271
392 11196 1.1443
814 18845 1.1110
449 8129 1.0482
933 9246 3.8705
922 6416 1.2482
1237 9246 1.3138
181022 28871 1.2675
4917 7024 1.8914
922 3429 3.1286
38 5009 2.8725
2065 3136 2.8624
38 101626 1.7479
188 813 1.1670
671 7710 1.0869
767 2418 4.3385
3529 30883 1.8572
422 9136 1.3163
1283 16542 1.4245
102481 734097 1.0104
498 503 1.3791
1601 3429 1.8221
221 586 1.2642
465 54123 1.1272
38 16153 2.0034
671 951 1.4523
459241 2084 1.9705
48 1380 3.0113
128 2853 1.7827
237 767 1.0581
1432 2009 1.5364
300 498 2.2739
2418 15674 1.2032
422 923 2.6074
106 221 1.2777
48 422 10.8652
6416 17580 1.3376
548 6908 1.0148
1241 491 1.0847
38 803 1.2979
797 813 1.9531
923 1003 1.1728
3529 3956 1.6471
4032 13958 1.0314
2738 2798 1.2942
1186 4954 1.0092
803 808 2.1186
261 18845 3.2932
422 449 7.2595
1380 4252 1.2973
586 16288 2.2480
422 1210 1.2468
2084 22760 3.4146
799 4486 1.7997
797 951 1.1614
12022 27305 1.1077
48 922 5.9548
797 802 2.7650
38 39 5.0144
422 428 4.0644
145209 23735 1.7609
767 922 17.9600
797 859 4.0464
128 392 9.4236
146 5398 3.9046
128 1200 1.6690
2969 6416 1.8699
16288 26327 1.0697
2009 3703 2.4183
767 3490 1.1058
498 17733 1.6570
26 498 1.1521
106 1302 2.6901
1241 2277 1.2551
422 1609 2.9078
221 21548 1.0572
10091 11076 2.5024
797 7125 5.2097
1372 16794 1.0397
801 922 1.3436
1003 1601 2.0124
392 43884 1.1945
47 859 1.2259
26 2074 1.4626
184 951 1.1990
37 491 2.9507
892 4060 1.0048
803 11150 1.4154
801 1237 1.1488
1063 9846 1.5444
994 4032 1.0413
261 671 4.7607
2592 5321 1.1169
859 928 8.9744
422 28871 1.6159
146 3216 1.2102
1439 2606 1.5928
46271 145209 1.7454
344044 344045 1.1782
2065 19870 1.3162
128 671 4.1461
261 4524 1.2014
859 9538 1.9925
671 803 2.7765
797 1483 1.1624
2524 15674 1.7974
4524 5009 1.9216
49 77 1.1794
9336 23884 1.1294
547 2169 1.5095
188 933 1.7244
221 2827 1.8476
696 10453 1.0149
2084 3723 4.3663
128 813 1.3017
465 922 1.5560
909 943 1.8255
724 764 1.8088
2524 13297 1.1300
885 2418 3.0557
458799 876818 9.0297
422 803 8.4449
221 254 1.5802
32 2969 2.1317
73 18845 1.4046
55 72 2.9898
767 1439 1.2134
2169 2575 1.4911
392 5346 1.9366
724 977 2.8639
696 1237 1.7608
767 7024 2.0395
128 261 5.6542
48 449 1.5671
797 801 1.9156
73 3717 1.9186
4252 26860 1.2371
184 5709 1.0157
26 859 7.4195
797 4486 18.5402
128 130 3.0398
26 39 10.5660
2575 18845 2.1040
159 7710 1.4259
184 2592 1.5750
803 902 1.7817
184 9246 1.3964
1003 15869 1.6723
1279 2467 1.0077
922 1750 1.0905
422 435 1.3152
392 915 3.9329
1380 5709 1.1173
2008 854 1.1228
128 133 1.6178
922 9491 1.1098
465 27305 1.0531
1372 7125 1.9272
767 7125 3.1604
2969 5009 3.0542
767 859 4.7751
671 922 6.7019
155 10882 1.0643
184 1230 1.0238
26 797 15.3813
797 1166 3.1553
48 1372 1.4637
221 724 5.5016
221 2065 3.7303
27 2606 5.1326
465 12022 1.8320
106 922 1.5576
221 1372 1.7431
7710 17825 1.9995
6416 12908 1.4277
422 1283 1.2782
48 803 1.1629
94 2524 3.2300
221 928 1.1570
659 2418 1.3505
136 15588 1.0642
2482 491 1.0810
49 78 1.1571
6223 7709 1.8753
671 933 1.4346
392 8516 1.0599
128 915 9.0623
221 797 2.8969
3703 1283 2.4068
71918 61251 1.3470
671 1372 1.5809
803 620285 1.7999
184 696 3.4682
184 767 17.8224
2575 5321 1.5035
915 1372 3.7224
1185 854 3.2474
94 2238 1.3546
803 6728 1.2457
859 923 1.7559
6528 445280 2.9698
236 108301 1.0048
46 1452 2.4638
261 400 1.0430
60 1237 1.2136
48 9336 1.3190
922 7710 4.4107
803 5178 2.4027
422 3703 2.1664
988 3051 1.0616
696 859 1.7395
1230 2065 1.6334
146 2009 2.9771
26 32 1.6188
1200 15674 6.1095
523 103213 1.4340
806 807 1.0410
51360 61251 1.8056
814 4486 1.2674
2074 2969 1.0017
188 221 3.3191
128 696 3.4712
1200 2524 2.6704
128 2065 1.6058
5398 17733 1.3074
767 7710 1.6801
1094 638520 1.1155
49837 50363 1.1297
94 859 1.2080
3703 4252 1.3342
2575 7560 1.3125
696 928 1.5988
237 821 1.3348
106 767 2.1965
1609 2621 1.5660
813 4486 5.2823
724 2418 1.3091
38 2606 1.0590
922 3490 3.2818
724 7125 1.0844
221 859 4.5067
184 803 16.5167
2524 7709 3.8710
94 885 1.1704
801 5709 1.1823
1252 1512 1.2284
39 47 3.2552
39 6416 2.5636
25806 63097 2.9368
106 2418 1.1169
261 922 8.3512
922 7709 1.6688
523 18845 1.8673
923 18845 1.0729
261 724 1.7354
1237 2065 6.8234
27 38 2.1677
128 498 1.3929
148 7710 2.9921
859796 13257 2.0899
128 1302 1.2539
8 928 2.0208
47 748 3.2215
671 7125 4.7098
922 491 4.6989
106 128 3.2981
8 922 1.9488
859 13257 1.3609
814 1192 1.2322
106 803 3.0668
128 4486 7.8706
951 1237 2.9221
2065 7710 1.0277
422 4252 7.1704
3956 30883 1.5847
261 1372 3.0887
221 226 3.4627
2009 491 2.3015
4808 20436 1.3003
422 1241 1.9187
45 47 1.1876
3723 22760 3.4220
26 128 19.0506
942 943 1.2957
498 803 1.6192
1037 10225 1.0173
1007 1200 1.6654
803 4486 9.4337
236 922 1.2658
859 9246 4.2954
26 18845 2.3244
422 2482 2.8957
859 491 1.5187
535 537 1.0335
48 5709 1.3661
392 2132 1.3595
498 103213 1.3024
977 4524 2.0406
422 168121 1.0563
344043 344045 1.2391
498 17871 2.0225
909 43883 2.7599
422 2065 1.4661
6556 30010 1.7920
422 1372 1.9235
922 3457 2.1587
48 491 2.2129
26 9538 1.9697
2592 18845 1.8234
724 767 4.1601
39 5009 1.4477
60 73 1.2555
156 2513 1.2710
1302 445280 2.8943
422 9246 1.3460
7709 13297 1.2462
458799 922 1.0099
498 18845 1.5899
7024 18845 1.2563
3407 18845 1.2900
1200 2418 2.7128
696 4486 1.3815
26 1372 2.8491
1372 61835 8.1951
696 4917 2.4540
814 1414 1.3132
814 2575 1.2066
136 188 1.4600
49 422 4.7131
922 2592 1.6663
38 221 1.3434
1200 13297 1.0027
26 184 21.2989
685 687 1.2035
671 915 1.3659
1432 3703 1.2701
2482 52321 1.4370
392 399 5.6830
1007 1008 2.0796
1007 1601 1.3492
1237 18845 5.9420
724 859 5.8104
221 7710 1.8316
922 13257 1.2991
1601 2621 2.4631
1003 1695 1.7875
801 4486 3.9628
1601 1736 2.1005
38 32 1.7234
802 727 1.2778
39 491 1.6193
71918 92517 1.4386
221 7024 1.2994
859 994 4.3446
977 18845 4.7489
236 237 2.4423
106 48550 1.2586
767 1372 2.8028
922 2065 6.7906
859 18845 1.4109
1512 2467 1.5980
1233 9246 1.0436
221 814 1.2531
922 876818 1.0259
859 2418 2.3544
72 5398 1.3408
128 422 7.3504
928 2418 1.0552
261 951 1.4914
922 17871 1.5829
797 2418 2.8288
392 11199 1.3117
50 87 2.9099
803 813 7.6241
2169 2592 1.5460
49837 51625 1.4101
38 47 4.9566
184 189 1.2292
797 1372 3.8323
26 2418 9.1665
724 9538 1.1201
184 221 9.3265
724 6908 1.4194
696 7125 1.6483
6671 15674 1.0330
548 1306 1.3635
71918 51360 1.3360
1186 30347 1.5155
47 422 1.7009
928 13958 2.9809
188 859 4.8304
39 184 1.6619
128 803 30.5775
909 942 2.1164
724 7710 1.3471
8 188 3.8687
422 7710 1.8758
49 498 1.2354
184 922 39.1860
87 4758 2.9796
77 465 1.3480
915 1236 1.2275
39 422 1.3071
38 422 1.8266
184 813 1.4872
1372 2132 1.1253
922 7585 1.2567
1555 19258 1.3295
188 1555 2.3870
161 237 1.5553
922 1094 1.2491
300 892 1.4352
803 804 1.9980
922 923 3.9581
1380 2009 1.5054
1003 491 1.2002
2969 4524 3.0197
1237 4486 10.2887
859 13958 3.7819
1432 2008 1.8661
922 18845 4.1671
400 406 3.4050
46271 85718 2.1090
60 77 1.3214
6416 9538 1.1826
184 261 4.2853
767 928 1.0968
6223 15674 1.3454
922 2621 5.8960
922 974 1.4829
1372 14640 1.4073
4486 7024 1.2010
49 255822 3.5392
1063 1279 1.0270
803 7024 1.5107
422 26860 2.9990
922 1380 1.1656
2009 26860 1.2820
885 922 2.7691
130 392 3.5784
1601 3457 1.2469
1372 21327 1.1596
27 724 2.6442
498 1237 2.4781
49 2345 1.3192
797 1237 37.0119
422 1185 4.0850
188 671 1.3872
184 209 1.8325
696 922 2.8697
511 17733 1.7886
724 18845 3.1360
885 7709 1.3049
422 44699 1.2403
441 1283 1.6464
1237 15674 1.2741
11873 23848 1.5072
923 491 1.9202
859 922 14.1455
106 1237 1.8899
797 1198 1.7659
724 802 3.4694
2606 9538 1.8156
221 2418 2.6898
148 2467 2.0087
806 814 1.0490
38 1241 3.1150
977 7453 1.0940
39 859 4.7158
803 1302 2.7104
173 9846 1.5569
11150 15866 1.7629
8 885 1.1804
1302 6528 3.8571
1003 2621 1.8848
49 4758 2.1094
300 2731 1.8267
1601 2065 1.1161
422 523 1.7751
27 5009 1.8174
128 136 4.1071
188 922 4.4224
39 128 1.1869
803 1601 1.3470
975 5273 1.0836
1252 1009312 2.3427
221 252 1.6850
3105 6842 1.5300
184 1237 41.2998
128 131 1.8625
5398 7710 4.0829
261 1009312 1.4583
13827 2513 1.0705
2592 7024 1.1186
159 2513 1.4084
1007 15439 1.4656
422 671 1.4593
39 9246 2.2767
797 3490 1.4135
155 7710 2.1549
47 548 1.0208
915 922 2.8280
923 2065 1.3101
797 3705 2.2957
806 821 1.6780
859 1372 1.2633
400 1512 1.5299
39 31307 1.1489
1185 2009 1.5147
988 18845 1.5339
8 2418 1.9508
498 922 5.4627
146 1432 1.2866
155 2467 1.3550
39 18845 1.0594
459241 3723 1.9753
26 27 3.9652
863 915 1.3041
523 531 3.2369
885 1200 1.5291
392 1372 3.2256
422 2277 1.4157
796 797 1.6196
1372 4808 4.9467
402 18845 2.0998
2065 4486 1.8270
2074 5009 1.3933
392 394 1.3424
184 392 1.1479
1372 4524 1.1388
73 422 1.0297
491 2277 1.2069
2592 6728 1.1112
724 2065 2.1822
1200 1601 1.3592
922 1736 3.9426
3474 7453 1.0119
859 915 1.4117
724 1237 10.6229
8 184 2.1403
128 816 1.3432
21923 21928 2.8491
94 922 1.8370
461991 839277 1.0011
261 392 1.0513
802 977 1.9003
136 803 1.0202
27 3490 1.4946
380315 385234 1.4136
803 922 34.7852
1555 1568 1.8848
1063 17825 1.5174
671 859 1.6121
128 137 1.1237
4195 7125 1.1059
671 767 2.5357
56908 30010 1.8268
26 422 6.7374
38 128 1.1769
47599 23179 2.3587
399 2795 1.1651
55 4523 1.4260
47 546 1.0537
422 797 2.6137
724 6416 1.7935
922 5709 1.1592
153 2467 1.1596
933 16863 1.0059
922 2606 1.2128
392 1446 1.2976
465 23884 1.1150
977 2585 1.1036
236 248 1.3746
26 767 6.0598
26 2065 3.3170
38 6416 2.7976
277 7725 1.0276
7125 15674 1.6846
1241 2606 1.2456
797 1696 1.0661
859 2065 2.3277
37 449 1.2458
922 4486 6.7920
951 7125 4.2159
1372 7655 1.8548
3490 6908 1.4524
428 181022 2.2496
1237 1372 6.9557
7125 18845 1.0117
2418 7888 1.5974
767 803 15.2024
2467 17825 5.2701
49905 63097 2.9571
27 922 1.0968
38 797 1.0685
803 2592 2.0177
3956 91380 6.3783
2467 9846 9.2702
261 977 1.9002
814 821 1.0015
1237 5709 1.4452
915 988 1.1165
988 5079 1.9323
2418 7125 3.5830
1237 7125 11.4277
145209 85718 1.7640
988 1589 1.0267
696 885 1.2441
1192 7024 1.878 1.7471
130 829 1.2166
221 3398 1.4211
2575 6728 1.6972
459241 22760 1.9798
73 3105 1.2954
9846 17825 5.1063
6416 14554 1.1616
797 1911 2.4952
48 60 4.4713
184 188 5.0430
